SBRN,Hospital,FieldItemMasterNumber,Part Name,Part Description,Unit of Measure,Classification,Manufacturer Name,Vendor Name,Vendor Contact Info,Vendor Part Number,Catalog Number,Price,Lot Number,Batch Number,Expiration Date,Recall Status,Purchase Order Number,Purchase Date,Order Status,QtyOnOrder,OnHandQty,Location,NationalItemMasterId,DataQualityFlags,HumanReviewRequired
SBRN0001,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Generic,BOX,Surgical,SurgiTech LLC,GlobalMed,110236,VP-59191,CAT-21948,244.22,LOT-78189,BATCH-4053,2027-10-07,None,PO-211712,2025-01-03,Delivered,102,154,Main Warehouse,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE,False
SBRN0002,Hospital A,UW1644DT,Antiseptic Wipes,Antiseptic Wipes - Generic,BAG,Surgical,MedSupply Corp,MedLogix,735684,VP-7857,CAT-87155,999.02,LOT-92447,BATCH-2576,2024-07-29,Active,PO-318362,2024-02-01,Pending,126,10,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,EXPIRED_ITEM_FLAG,False
SBRN0003,Hospital A,UW1644DT,Antiseptic Wipes,Antiseptic Wipes - Generic,BAG,Surgical,MedSupply Corp,MedLogix,735684,VP-7857,CAT-87155,999.02,LOT-92447,BATCH-2576,2024-07-29,Active,PO-318362,2024-02-01,Pending,126,10,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,EXPIRED_ITEM_FLAG,False
SBRN0004,Hospital A,UW1644DT,Antiseptic Wipes,Antiseptic Wipes - Generic,BAG,Surgical,MedSupply Corp,MedLogix,735684,VP-7857,CAT-87155,999.02,LOT-92447,BATCH-2576,2024-07-29,Active,PO-318362,2024-02-01,Pending,126,10,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,EXPIRED_ITEM_FLAG,False
SBRN0005,Hospital A,UW1644DT,Antiseptic Wipes,Antiseptic Wipes - Generic,BAG,Surgical,MedSupply Corp,MedLogix,735684,VP-7857,CAT-87155,999.02,LOT-92447,BATCH-2576,2024-07-29,Active,PO-318362,2024-02-01,Pending,126,10,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,EXPIRED_ITEM_FLAG,False
SBRN0006,Hospital A,FR2962MK,Antiseptic Wipes,Antiseptic Wipes - Standard,BOX,Supply,SurgiTech LLC,Prime Healthcare Vendors,981825,VP-4674,CAT-25895,362.2,LOT-80994,BATCH-8624,2020-04-20,Active,PO-321833,2020-06-09,Pending,93,43,ER Supply Room,NIM-ANTISEPTIC-WIPES,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0007,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Generic,BOX,Surgical,SurgiTech LLC,GlobalMed,110236,VP-5991,CAT-21948,244.22,LOT-78189,BATCH-4053,2027-10-07,None,PO-211712,2025-01-03,Delivered,102,154,Main Warehouse,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE,False
SBRN0008,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Generic,BOX,Surgical,SurgiTech LLC,GlobalMed,110236,VP-5991,CAT-21948,244.22,LOT-78189,BATCH-4053,2027-10-07,None,PO-211712,2025-01-03,Delivered,102,154,Main Warehouse,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE,False
SBRN0009,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Generic,BOX,Supply,SurgiTech LLC,HealthEquip Direct,270082,VP-3709,CAT-31022,314.92,LOT-38554,BATCH-5820,2021-08-26,Active,PO-267497,2024-11-03,Pending,35,14,Main Warehouse,NIM-ANTISEPTIC-WIPES,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0010,Hospital A,PT3621O9,Antiseptic Wipes,Antiseptic Wipes - Standard,EA,Pharmaceutical,MedSupply Corp,Prime Healthcare Vendors,484244,VP-4720,CAT-98870,1199.17,LOT-23609,BATCH-8164,2024-03-29,Monitoring,PO-157776,2021-04-25,Delivered,64,2,Surgery Closet,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
