issue_id,category,source_artifact,field_or_entity,decision_needed,owner,status,notes
HRQ-00001,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0006
HRQ-00002,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0009
HRQ-00003,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0010
HRQ-00004,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0011
HRQ-00005,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0012
HRQ-00006,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0013
HRQ-00007,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0014
HRQ-00008,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0015
HRQ-00009,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0016
HRQ-00010,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0017
HRQ-00011,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0018
HRQ-00012,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0019
HRQ-00013,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0020
HRQ-00014,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0021
HRQ-00015,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0022
HRQ-00016,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0023
HRQ-00017,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0024
