SBRN,Hospital,FieldItemMasterNumber,NationalItemMasterId,CanonicalPartName
SBRN0001,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0002,Hospital A,UW1644DT,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0003,Hospital A,UW1644DT,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0004,Hospital A,UW1644DT,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0005,Hospital A,UW1644DT,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0006,Hospital A,FR2962MK,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0007,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0008,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0009,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0010,Hospital A,PT3621O9,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0011,Hospital A,PT3621O9,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0012,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0013,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0014,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0015,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0016,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0017,Hospital A,ZD7018VO,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0018,Hospital A,EQ22987O,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0019,Hospital A,EQ22987O,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0020,Hospital A,EQ22987O,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0021,Hospital A,EQ22987O,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0022,Hospital A,EQ22987O,NIM-ANTISEPTIC-WIPES,Antiseptic Wipes
SBRN0023,Hospital A,ID7581SP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0024,Hospital A,ID7581SP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0025,Hospital A,ID7581SP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0026,Hospital A,ID7581SP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0027,Hospital A,LJ8490BS,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0028,Hospital A,LJ8490BS,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0029,Hospital A,LJ8490BS,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0030,Hospital A,LJ8490BS,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0031,Hospital A,ID7581SP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0032,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0033,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0034,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0035,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0036,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0037,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0038,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0039,Hospital A,ZH3387XM,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0040,Hospital A,NB1565G4,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0041,Hospital A,NB1565G4,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0042,Hospital A,NB1565G4,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0043,Hospital A,NB1565G4,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0044,Hospital A,NB1565G4,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0045,Hospital A,TT2608AP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0046,Hospital A,TT2608AP,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0047,Hospital A,BN5332ES,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0048,Hospital A,BN5332ES,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0049,Hospital A,BN5332ES,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0050,Hospital A,BN5332ES,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0051,Hospital A,GJ46299B,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0052,Hospital A,GJ46299B,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0053,Hospital A,GJ46299B,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0054,Hospital A,GJ46299B,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0055,Hospital A,GJ46299B,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
SBRN0056,Hospital A,PS77674D,NIM-BLOOD-PRESSURE-CUFF,Blood Pressure Cuff
