SBRN,field,before,after,rule
SBRN0001,Part Name,Antiseptc Wipes,Antiseptic Wipes,standardization_or_format_normalization
SBRN0001,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0001,Recall Status,,None,standardization_or_format_normalization
SBRN0001,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN0001,Purchase Date,2025-01-03 00:00:00,2025-01-03,standardization_or_format_normalization
SBRN0001,Expiration Date,2027-10-07 00:00:00,2027-10-07,standardization_or_format_normalization
SBRN0002,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0002,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0002,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0002,Purchase Date,2024-02-01 00:00:00,2024-02-01,standardization_or_format_normalization
SBRN0002,Expiration Date,2024-07-29 00:00:00,2024-07-29,standardization_or_format_normalization
SBRN0003,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0003,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0003,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0003,Purchase Date,2024-02-01 00:00:00,2024-02-01,standardization_or_format_normalization
SBRN0003,Expiration Date,2024-07-29 00:00:00,2024-07-29,standardization_or_format_normalization
SBRN0004,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0004,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0004,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0004,Purchase Date,2024-02-01 00:00:00,2024-02-01,standardization_or_format_normalization
SBRN0004,Expiration Date,2024-07-29 00:00:00,2024-07-29,standardization_or_format_normalization
SBRN0005,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0005,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0005,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0005,Purchase Date,2024-02-01 00:00:00,2024-02-01,standardization_or_format_normalization
SBRN0005,Expiration Date,2024-07-29 00:00:00,2024-07-29,standardization_or_format_normalization
SBRN0006,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0006,Manufacturer Name,SurgiTech,SurgiTech LLC,standardization_or_format_normalization
SBRN0006,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0006,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0006,Purchase Date,2020-06-09 00:00:00,2020-06-09,standardization_or_format_normalization
SBRN0006,Expiration Date,2020-04-20 00:00:00,2020-04-20,standardization_or_format_normalization
SBRN0007,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0007,Recall Status,,None,standardization_or_format_normalization
SBRN0007,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN0007,Purchase Date,2025-01-03 00:00:00,2025-01-03,standardization_or_format_normalization
SBRN0007,Expiration Date,2027-10-07 00:00:00,2027-10-07,standardization_or_format_normalization
SBRN0008,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0008,Recall Status,,None,standardization_or_format_normalization
SBRN0008,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN0008,Purchase Date,2025-01-03 00:00:00,2025-01-03,standardization_or_format_normalization
SBRN0008,Expiration Date,2027-10-07 00:00:00,2027-10-07,standardization_or_format_normalization
SBRN0009,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0009,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0009,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0009,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0009,Purchase Date,2024-11-03 00:00:00,2024-11-03,standardization_or_format_normalization
SBRN0009,Expiration Date,2021-08-26 00:00:00,2021-08-26,standardization_or_format_normalization
SBRN0010,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
